﻿Daily Discharge (m3/s) (PARAM = 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08NH004,1,1,1914,1,,,,,,,,,,,113,,65.4,,11.3,,5.8,,10.1,,22.2,,12.6,
08NH004,1,1,1914,2,,,,,,,,,,,135,,64.3,,10.9,,5.8,,10.1,,26.3,,12.2,
08NH004,1,1,1914,3,,,,,,,,,,,164,,65.4,,10.1,,5.8,,10.9,,39.9,,12.2,
08NH004,1,1,1914,4,,,,,,,,,,,155,,65.4,,10.1,,5.8,,9.63,,39.9,,12.6,
08NH004,1,1,1914,5,,,,,,,,,,,117,,56.6,,10.1,,5.8,,10.1,,42.2,,12.6,
08NH004,1,1,1914,6,,,,,,,,,,,97.4,,51,,10.1,,5.8,,9.63,,49.8,,11.8,
08NH004,1,1,1914,7,,,,,,,,,71.6,,81.6,,45.6,,9.2,,5.8,,10.1,,43,,11.8,
08NH004,1,1,1914,8,,,,,,,,,71.6,,71.6,,44.2,,9.2,,5.8,,10.1,,49.8,,11.8,
08NH004,1,1,1914,9,,,,,,,,,87.2,,63.4,,41.3,,9.2,,6.65,,10.1,,47.3,,11.8,
08NH004,1,1,1914,10,,,,,,,,,105,,55.8,,36.8,,9.2,,6.65,,10.2,,42.2,,11.8,
08NH004,1,1,1914,11,,,,,,,,,100,,62.3,,36,,9.2,,6.65,,10.5,,36.8,,11.8,
08NH004,1,1,1914,12,,,,,,,,,97.4,,72.8,,31.1,,9.2,,6.65,,10.9,,32,,10.9,
08NH004,1,1,1914,13,,,,,,,,,103,,89.8,,35.1,,9.2,,6.65,,10.9,,25.5,,10.9,B
08NH004,1,1,1914,14,,,,,,,,,121,,106,,39.9,,9.2,,7.5,,10.9,,21.7,,10.9,B
08NH004,1,1,1914,15,,,,,,,,,164,,113,,37.7,,9.2,,7.93,,11.8,,21.1,,10.9,B
08NH004,1,1,1914,16,,,,,,,,,161,,121,,32,,9.2,,8.35,,13.6,,20.5,,10.9,B
08NH004,1,1,1914,17,,,,,,,,,146,,116,,27.8,,9.63,,9.2,,15,,20.5,,,
08NH004,1,1,1914,18,,,,,,,,,138,,125,,25.5,,8.35,,11.8,,16.6,,19.4,,,
08NH004,1,1,1914,19,,,,,,,,,138,,111,,24.9,,7.93,,15.6,,18.3,,18.8,,,
08NH004,1,1,1914,20,,,,,,,,,120,,93.4,,24.1,,7.5,,16.6,,18.3,,18.3,,,
08NH004,1,1,1914,21,,,,,,,,,114,,67.4,,22.2,,7.5,,15,,16,,17.7,,,
08NH004,1,1,1914,22,,,,,,,,,127,,65.4,,20,,7.5,,14.2,,14.6,,17.1,,,
08NH004,1,1,1914,23,,,,,,,,,127,,52.7,,17.7,,7.5,,12.2,,14,,16.6,,,
08NH004,1,1,1914,24,,,,,,,,,131,,49,,17.7,,7.5,,10.9,,13.6,,16.6,,,
08NH004,1,1,1914,25,,,,,,,,,125,,67.4,,16,,7.5,,10.9,,13.6,,15.6,,,
08NH004,1,1,1914,26,,,,,,,,,106,,83.8,,15.6,,6.65,,10.5,,13.6,,15.6,,,
08NH004,1,1,1914,27,,,,,,,,,93.4,,73.9,,15.6,,6.65,,10.1,,14.2,,15.6,,,
08NH004,1,1,1914,28,,,,,,,,,82.7,,67.4,,14.6,,6.65,,10.1,,14.6,,15.6,,,
08NH004,1,1,1914,29,,,,,,,,,71.6,,63.4,,13.6,E,5.8,,10.1,,14.2,,15.6,,,
08NH004,1,1,1914,30,,,,,,,,,75,,68.2,,12.6,,5.8,,10.1,,15.6,,13.6,,,
08NH004,1,1,1914,31,,,,,,,,,93.4,,,,11.8,,5.8,,,,16.6,,,,,
08NH004,1,1,1915,1,,,7.25,,7.25,,24.2,,68.5,,64.8,,33.4,,18.5,,7.25,,6.37,,11.3,,7.25,
08NH004,1,1,1915,2,,,7.25,,7.25,,29.7,,61.2,,58.9,,29.7,,19.6,,7.25,,6.37,E,10.4,,7.25,
08NH004,1,1,1915,3,,,7.25,,8.27,,31.7,,58.9,,55.2,,28.2,,19.6,,7.25,,6.37,,10.4,E,,
08NH004,1,1,1915,4,,,7.25,,8.27,,32.6,E,55.2,,45.9,,23,,17.4,,7.25,,6.8,,10.4,,,
08NH004,1,1,1915,5,,,7.25,,8.27,,33.4,,57.8,,44.7,,21.9,,13.2,,7.25,,6.8,,9.66,,8.27,
08NH004,1,1,1915,6,,,7.25,,8.27,,33.4,,60,,44.7,,21.9,,13.2,,7.25,,6.37,,8.95,,8.27,
08NH004,1,1,1915,7,,,7.25,,8.27,,31.7,,64.8,,42.8,,21.9,,13.2,E,7.25,,6.37,,9.29,E,7.7,
08NH004,1,1,1915,8,,,7.25,,8.95,,30.6,,64.8,,41.1,,21.9,,13.2,,7.25,,6.37,,9.66,,7.7,
08NH004,1,1,1915,9,,,7.25,,8.95,,29.4,,66.3,,39.4,,21.9,,12.7,E,6.8,,6.37,,10.4,,,
08NH004,1,1,1915,10,,,7.25,,8.95,,30.6,,72.8,,51,,19.6,,12.2,,7.25,,6.37,,9.66,,,
08NH004,1,1,1915,11,,,7.25,,8.95,,39.4,,69.9,,43.6,,19.6,E,11.8,E,7.7,,6.37,,8.95,,8.27,
08NH004,1,1,1915,12,,,7.25,,10.4,,44.7,,68.5,,37.9,E,19.6,,11.3,,8.27,,5.95,,7.7,,7.7,
08NH004,1,1,1915,13,,,7.25,,10.4,,48.7,,57.8,,32.6,,19.6,,10.4,,7.7,,6.37,,6.8,,7.25,
08NH004,1,1,1915,14,,,7.25,,10.9,E,52.1,,62.6,,29.7,,19.6,,10.4,,7.7,,6.37,,8.95,,,
08NH004,1,1,1915,15,,,7.25,,11.3,,55.2,,68.5,,31.1,,20.7,,11.3,,7.25,,6.8,,8.95,,,
08NH004,1,1,1915,16,,,7.25,,11.3,,56.6,,63.7,,28.9,,21.9,,12.2,,7.25,,6.8,,8.27,,7.25,
08NH004,1,1,1915,17,,,7.25,,11.8,,68.5,,60,,26.8,,21.9,,10.4,,7.25,,6.57,E,7.99,E,6.8,
